trial,elephant,friend,time ,total_time,perc_time
26,Sundara,Connie,0,900,0
26,Sundara,Phoebe,0,900,0
26,Sundara,Rudy,332,900,0.3689
27,Rudy,Connie,138,904,0.1527
27,Rudy,Phoebe,87,904,0.0962
27,Rudy,Sundara,245,904,0.271
28,Phoebe,Connie,49,900,0.0544
28,Phoebe,Rudy,158,900,0.1756
28,Phoebe,Sundara,11,900,0.0122
30,Sundara,Connie,0,900,0
30,Sundara,Phoebe,57,900,0.0633
30,Sundara,Rudy,182,900,0.2022
31,Rudy,Connie,173,919,0.1882
31,Rudy,Phoebe,136,919,0.148
31,Rudy,Sundara,313,919,0.3406
32,Phoebe,Connie,148,933,0.1586
32,Phoebe,Rudy,34,933,0.0364
32,Phoebe,Sundara,41,933,0.0439
33,Connie,Phoebe,96,948,0.1013
33,Connie,Rudy,0,948,0
33,Connie,Sundara,0,948,0
34,Rudy,Connie,0,913,0
34,Rudy,Phoebe,11,913,0.012
34,Rudy,Sundara,913,913,1
35,Phoebe,Connie,0,932,0
35,Phoebe,Rudy,41,932,0.044
35,Phoebe,Sundara,38,932,0.0408
36,Connie,Phoebe,0,932,0
36,Connie,Rudy,0,932,0
36,Connie,Sundara,0,932,0
37,Sundara,Connie,0,900,0
37,Sundara,Phoebe,0,900,0
37,Sundara,Rudy,843,900,0.9367
38,Sundara,Connie,151,947,0.1595
38,Sundara,Phoebe,63,947,0.0665
38,Sundara,Rudy,553,947,0.5839
39,Rudy,Connie,0,916,0
39,Rudy,Phoebe,227,916,0.2478
39,Rudy,Sundara,818,916,0.893
40,Phoebe,Connie,0,935,0
40,Phoebe,Rudy,0,935,0
40,Phoebe ,Sundara,0,935,0
41,Connie,Phoebe,410,900,0.4556
41,Connie,Rudy,492,900,0.5467
41,Connie,Sundara,194,900,0.2156
42,Sundara,Connie,0,914,0
42,Sundara,Phoebe,34,914,0.0372
42,Sundara,Rudy,641,914,0.7013
43,Rudy,Connie,0,990,0
43,Rudy,Phoebe,134,990,0.1354
43,Rudy,Sundara,987,990,0.997
44,Phoebe,Connie,0,900,0
44,Phoebe,Rudy,0,900,0
44,Phoebe ,Sundara ,0,900,0
45,Connie,Phoebe,0,900,0
45,Connie,Rudy,0,900,0
45,Connie,Sundara,0,900,0
46,Phoebe,Connie,93,929,0.1001
46,Phoebe,Rudy,295,929,0.3175
46,Phoebe ,Sundara ,296,929,0.3186
