trial,date,start_time,name,age,sex,location,status,total_time,other,sway,fidget,survey,pull,other_perc,sway_perc,fidget_perc,survey_perc,pull_perc
1,9/24/17,11:25:18,Sundara,9,female,big,group,923,908,0,9,0,6,0.98,0,0.01,0,0.01
2,9/24/17,11:48:56,Phoebe,30,female,big,group,950,589,0,357,4,0,0.62,0,0.38,0,0
3,9/24/17,12:36:07,Hank,29,male,small,alone,896,819,30,19,28,0,0.91,0.03,0.02,0.03,0
4,9/24/17,13:00:06,Connie,43,female,big,group,928,919,6,3,0,0,0.99,0.01,0,0,0
5,9/24/17,13:17:21,Rudy,15,female,big,group,914,722,0,175,13,4,0.79,0,0.19,0.01,0
6,9/24/17,13:35:00,Sundara,9,female,big,group,920,702,0,130,0,88,0.76,0,0.14,0,0.1
7,9/24/17,13:51:07,Phoebe,30,female,big,group,925,907,0,18,0,0,0.98,0,0.02,0,0
8,9/24/17,14:33:40,Hank,29,male,small,alone,924,127,788,9,0,0,0.14,0.85,0.01,0,0
9,9/24/17,14:56:33,Connie,43,female,big,group,913,913,0,0,0,0,1,0,0,0,0
10,9/24/17,15:13:04,Rudy,15,female,big,group,897,752,12,133,0,0,0.84,0.01,0.15,0,0
11,9/24/17,15:31:32,Sundara,9,female,big,group,926,671,57,183,15,0,0.72,0.06,0.2,0.02,0
12,9/24/17,15:48:05,Phoebe,30,female,big,group,837,689,0,96,0,52,0.82,0,0.11,0,0.06
13,9/24/17,16:14:20,Connie,43,female,big,group,1042,945,3,40,54,0,0.91,0,0.04,0.05,0
14,9/24/17,16:36:03,Rudy,15,female,big,group,972,709,0,252,6,5,0.73,0,0.26,0.01,0.01
15,9/28/17,11:58:48,Beco,8,male,small,alone,956,908,0,48,0,0,0.95,0,0.05,0,0
16,9/28/17,12:15:11,Sundara,9,female,big,group,917,881,0,36,0,0,0.96,0,0.04,0,0
17,9/28/17,12:31:18,Phoebe,30,female,big,group,916,891,0,0,19,6,0.97,0,0,0.02,0.01
18,9/28/17,12:47:33,Connie,43,female,big,group,918,880,0,30,8,0,0.96,0,0.03,0.01,0
19,9/28/17,13:04:16,Rudy,15,female,big,group,961,900,0,45,16,0,0.94,0,0.05,0.02,0
20,9/28/17,13:26:09,Beco,8,male,small,alone,915,897,0,10,0,8,0.98,0,0.01,0,0.01
21,9/28/17,13:45:56,Sundara,9,female,big,group,907,310,0,321,121,155,0.34,0,0.35,0.13,0.17
22,9/28/17,14:02:07,Phoebe,30,female,big,group,913,808,0,102,3,0,0.89,0,0.11,0,0
23,9/28/17,14:18:50,Connie,43,female,big,group,910,714,0,190,6,0,0.78,0,0.21,0.01,0
24,9/28/17,14:34:51,Rudy,15,female,big,group,919,856,0,50,0,13,0.93,0,0.05,0,0.01
25,9/28/17,15:17:20,Hank,29,male,small,alone,928,896,0,32,0,0,0.97,0,0.03,0,0
26,11/5/17,11:09:35,Sundara ,9,female,big,group,900,900,0,0,0,0,1,0,0,0,0
27,11/5/17,11:25:01,Rudy,15,female,big,group,904,871,0,33,0,0,0.96,0,0.04,0,0
28,11/5/17,11:40:25,Phoebe,30,female,big,group,900,900,0,0,0,0,1,0,0,0,0
29,11/5/17,11:55:40,Connie,43,female,big,group,900,900,0,0,0,0,1,0,0,0,0
30,11/5/17,12:11:28,Sundara,9,female,big,group,900,885,15,0,0,0,0.98,0.02,0,0,0
31,11/5/17,12:26:53,Rudy,15,female,big,group,919,595,0,294,0,30,0.65,0,0.32,0,0.03
32,11/5/17,12:42:29,Phoebe,30,female,big,group,933,821,0,112,0,0,0.88,0,0.12,0,0
33,11/5/17,12:58:24,Connie,43,female,big,group,948,867,0,65,0,16,0.91,0,0.07,0,0.02
34,11/5/17,1:30:13,Rudy,15,female,big,group,913,0,0,913,0,0,0,0,1,0,0
35,11/5/17,1:45:46,Phoebe,30,female,big,group,932,869,0,39,24,0,0.93,0,0.04,0.03,0
36,11/5/17,1:45:46,Connie,43,female,big,group,900,900,0,0,0,0,1,0,0,0,0
37,11/5/17,1:14:45,Sundara,9,female,big,group,900,56,0,398,363,83,0.06,0,0.44,0.4,0.09
38,11/12/17,1:12:15,Sundara,9,female,big,group,947,930,0,17,0,0,0.98,0,0.02,0,0
39,11/12/17,1:28:28,Rudy,15,female,big,group,916,721,0,172,23,0,0.79,0,0.19,0.03,0
40,11/12/17,1:44:32,Phoebe,30,female,big,group,935,465,0,29,5,436,0.5,0,0.03,0.01,0.47
41,11/12/17,2:12:23,Connie,43,female,big,group,900,900,0,0,0,0,1,0,0,0,0
42,11/12/17,2:27:39,Sundara,9,female,big,group,914,340,0,574,0,0,0.37,0,0.63,0,0
43,11/12/17,2:43:33,Rudy,15,female,big,group,990,202,0,766,22,0,0.2,0,0.77,0.02,0
44,11/12/17,2:43:33,Phoebe,30,female,big,group,900,900,0,0,0,0,1,0,0,0,0
45,11/12/17,2:43:33,Connie,43,female,big,group,900,900,0,0,0,0,1,0,0,0,0
46,11/12/17,3:00:37,Phoebe,30,female,big,group,929,799,0,0,0,130,0.86,0,0,0,0.14
