name,behavior,percent
Sundara,fidget,0.01
Phoebe,fidget,0.38
Connie,fidget,0.00
Rudy,fidget,0.19
Sundara,fidget,0.14
Phoebe,fidget,0.02
Connie,fidget,0.00
Rudy,fidget,0.15
Sundara,fidget,0.20
Phoebe,fidget,0.11
Connie,fidget,0.04
Rudy,fidget,0.26
Sundara,fidget,0.04
Phoebe,fidget,0.00
Connie,fidget,0.03
Rudy,fidget,0.05
Sundara,fidget,0.35
Phoebe,fidget,0.11
Connie,fidget,0.21
Rudy,fidget,0.05
Sundara ,fidget,0.00
Rudy,fidget,0.04
Phoebe,fidget,0.00
Connie,fidget,0.00
Sundara,fidget,0.00
Rudy,fidget,0.32
Phoebe,fidget,0.12
Connie,fidget,0.07
Rudy,fidget,1.00
Phoebe,fidget,0.04
Connie,fidget,0.00
Sundara,fidget,0.44
Sundara,fidget,0.02
Rudy,fidget,0.19
Phoebe,fidget,0.03
Connie,fidget,0.00
Sundara,fidget,0.63
Rudy,fidget,0.77
Phobe,fidget,0.00
Connie,fidget,0.00
Phoebe,fidget,0.00
Sundara,sway,0.00
Phoebe,sway,0.00
Connie,sway,0.01
Rudy,sway,0.00
Sundara,sway,0.00
Phoebe,sway,0.00
Connie,sway,0.00
Rudy,sway,0.01
Sundara,sway,0.06
Phoebe,sway,0.00
Connie,sway,0.00
Rudy,sway,0.00
Sundara,sway,0.00
Phoebe,sway,0.00
Connie,sway,0.00
Rudy,sway,0.00
Sundara,sway,0.00
Phoebe,sway,0.00
Connie,sway,0.00
Rudy,sway,0.00
Sundara ,sway,0.00
Rudy,sway,0.00
Phoebe,sway,0.00
Connie,sway,0.00
Sundara,sway,0.02
Rudy,sway,0.00
Phoebe,sway,0.00
Connie,sway,0.00
Rudy,sway,0.00
Phoebe,sway,0.00
Connie,sway,0.00
Sundara,sway,0.00
Sundara,sway,0.00
Rudy,sway,0.00
Phoebe,sway,0.00
Connie,sway,0.00
Sundara,sway,0.00
Rudy,sway,0.00
Phobe,sway,0.00
Connie,sway,0.00
Phoebe,sway,0.00
Sundara,survey,0.00
Phoebe,survey,0.00
Connie,survey,0.00
Rudy,survey,0.01
Sundara,survey,0.00
Phoebe,survey,0.00
Connie,survey,0.00
Rudy,survey,0.00
Sundara,survey,0.02
Phoebe,survey,0.00
Connie,survey,0.05
Rudy,survey,0.01
Sundara,survey,0.00
Phoebe,survey,0.02
Connie,survey,0.01
Rudy,survey,0.02
Sundara,survey,0.13
Phoebe,survey,0.00
Connie,survey,0.01
Rudy,survey,0.00
Sundara ,survey,0.00
Rudy,survey,0.00
Phoebe,survey,0.00
Connie,survey,0.00
Sundara,survey,0.00
Rudy,survey,0.00
Phoebe,survey,0.00
Connie,survey,0.00
Rudy,survey,0.00
Phoebe,survey,0.03
Connie,survey,0.00
Sundara,survey,0.40
Sundara,survey,0.00
Rudy,survey,0.03
Phoebe,survey,0.01
Connie,survey,0.00
Sundara,survey,0.00
Rudy,survey,0.02
Phobe,survey,0.00
Connie,survey,0.00
Phoebe,survey,0.00
Sundara,pull,0.01
Phoebe,pull,0.00
Connie,pull,0.00
Rudy,pull,0.00
Sundara,pull,0.10
Phoebe,pull,0.00
Connie,pull,0.00
Rudy,pull,0.00
Sundara,pull,0.00
Phoebe,pull,0.06
Connie,pull,0.00
Rudy,pull,0.01
Sundara,pull,0.00
Phoebe,pull,0.01
Connie,pull,0.00
Rudy,pull,0.00
Sundara,pull,0.17
Phoebe,pull,0.00
Connie,pull,0.00
Rudy,pull,0.01
Sundara ,pull,0.00
Rudy,pull,0.00
Phoebe,pull,0.00
Connie,pull,0.00
Sundara,pull,0.00
Rudy,pull,0.03
Phoebe,pull,0.00
Connie,pull,0.02
Rudy,pull,0.00
Phoebe,pull,0.00
Connie,pull,0.00
Sundara,pull,0.09
Sundara,pull,0.00
Rudy,pull,0.00
Phoebe,pull,0.47
Connie,pull,0.00
Sundara,pull,0.00
Rudy,pull,0.00
Phobe,pull,0.00
Connie,pull,0.00
Phoebe,pull,0.14
